eps,A_rms,status,tail_mean,tail_min,tail_max,file
2.0,6.743509105711339,breathing,0.45964688983775615,-11.30587100982666,12.267125129699707,track_eps2_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
2.5,3.956878686896096,breathing,0.41664753218826506,-5.380688667297363,6.208556652069092,track_eps2p5_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
2.8,3.5378147077976765,breathing,0.48201215558207333,-4.5730462074279785,5.440206527709961,track_eps2p8_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
3.0,3.3499805661429622,breathing,0.3973877819258312,-4.365999698638916,5.202157497406006,track_eps3_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
3.2,3.7822951560019846,breathing,0.5187806477668643,-4.831813812255859,5.680270671844482,track_eps3p2_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
3.5,3.182255245992269,breathing,0.5526777017301915,-4.013936996459961,4.509119510650635,track_eps3p5_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
4.0,0.0,collapse_or_nonbreathing,0.5078789994188581,0.49612078070640564,0.516112208366394,track_eps4_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
4.5,0.0,collapse_or_nonbreathing,0.5073438064451256,0.4966095983982086,0.5151671171188354,track_eps4p5_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
5.0,0.0,collapse_or_nonbreathing,0.5066744540938809,0.496818482875824,0.5141699910163879,track_eps5_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
6.0,0.0,collapse_or_nonbreathing,0.5039634041753115,0.49523699283599854,0.5112074613571167,track_eps6_h0p533_d18_ph0_dy0_k0p06_v_aa0_ra0.csv
